chr|end|gene_name|gene_type|id|start|synonym
chr20|9839076|PAK5|protein_coding|ENSG00000101349|9537370|"[""p21(CDKN1A)-activated kinase 7"", ""serine/threonine-protein kinase PAK7"", ""p21 (RAC1) activated kinase 7"", ""p21-activated kinase 7"", ""PAK5"", ""p21CDKN1A-activated kinase 7"", ""PAK-7"", ""HGNC:15916"", ""p21 protein (Cdc42/Rac)-activated kinase 7"", ""p21 (RAC1) activated kinase 5"", ""p21-activated kinase 5"", ""PAK-5"", ""serine/threonine-protein kinase PAK 7"", ""serine/threonine-protein kinase PAK 5"", ""PAK7"", ""protein kinase PAK5""]"
chr20|9571257|unknown|lncRNA|ENSG00000286740|9562941|
chr20|9577689|unknown|lncRNA|ENSG00000232738|9575608|
chr20|9873900|unknown|lncRNA|ENSG00000286470|9835556|
chr20|10007116|PARAL1|lncRNA|ENSG00000243961|9986088|
chr20|10058303|ANKEF1|protein_coding|ENSG00000132623|9986126|"[""ANKEF1"", ""HGNC:15803"", ""ankyrin repeat and EF-hand domain-containing protein 1"", ""ankyrin repeat and EF-hand domain containing 1"", ""ANKRD5"", ""ankyrin repeat domain-containing protein 5""]"
chr20|10368831|SNAP25-AS1|lncRNA|ENSG00000227906|10006381|"[""SNAP25 antisense RNA 1"", ""HGNC:44312"", ""SNAP25 antisense RNA 1 (non-protein coding)"", ""SNAP25-AS1""]"
chr20|10026168|unknown|misc_RNA|ENSG00000276525|10025917|
chr20|10308258|SNAP25|protein_coding|ENSG00000132639|10172395|"[""HGNC:11132"", ""synaptosomal-associated protein, 25kDa"", ""SNAP-25"", ""resistance to inhibitors of cholinesterase 4 homolog"", ""SNAP25"", ""RIC-4"", ""synaptosome associated protein 25kDa"", ""SEC9"", ""synaptosome associated protein 25"", ""bA416N4.2"", ""CMS18"", ""dJ1068F16.2"", ""SUP"", ""synaptosomal-associated protein 25"", ""RIC4"", ""SNAP""]"
chr20|10200824|unknown|lncRNA|ENSG00000230506|10172522|
chr20|10186740|unknown|lncRNA|ENSG00000232448|10172701|
chr20|10309905|unknown|lncRNA|ENSG00000289505|10308422|
chr20|10318753|unknown|lncRNA|ENSG00000286936|10317889|
chr20|10334698|HIGD1AP15|processed_pseudogene|ENSG00000237005|10334419|
chr20|10349628|RPL23AP6|processed_pseudogene|ENSG00000214835|10349157|"[""dJ1068F16.1"", ""HGNC:16555"", ""RPL23A_36_1683"", ""ribosomal protein L23a pseudogene 6"", ""RPL23AP6""]"
chr20|10387806|SDAD1P2|processed_pseudogene|ENSG00000230750|10385779|
chr20|10434222|MKKS|protein_coding|ENSG00000125863|10401009|"[""Bardet-Biedl syndrome 6 protein"", ""KMS"", ""MKKS"", ""HGNC:7108"", ""MKS"", ""BBS6"", ""McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin"", ""MKKS centrosomal shuttling protein"", ""HMCS"", ""molecular chaperone MKKS"", ""alternative protein MKKS""]"
chr20|10431922|MKKS|protein_coding|ENSG00000285508|10413520|"[""LOC128706666"", ""uncharacterized LOC128706666""]"
chr20|10420737|MKKS|protein_coding|ENSG00000285723|10420546|"[""uncharacterized LOC128706665"", ""LOC128706665""]"
chr20|10636829|SLX4IP|protein_coding|ENSG00000149346|10435305|"[""bA204H22.1"", ""SLX4 interacting protein"", ""protein SLX4IP"", ""C20orf94"", ""HGNC:16225"", ""bA254M13.1"", ""SLX4IP"", ""dJ1099D15.3""]"
chr20|10614229|DNAJC9P1|processed_pseudogene|ENSG00000235036|10612861|
chr20|10673999|JAG1|protein_coding|ENSG00000101384|10637684|"[""CMT2HH"", ""HGNC:6188"", ""HJ1"", ""jagged canonical Notch ligand 1"", ""AHD"", ""AGS"", ""JAG1"", ""CD339"", ""protein jagged-1"", ""JAGL1"", ""DCHE"", ""AWS"", ""AGS1""]"
chr20|10649695|MIR6870|miRNA|ENSG00000273745|10649636|"[""microRNA 6870"", ""microRNA mir-6870"", ""hsa-mir-6870"", ""HGNC:50184"", ""MIR6870""]"
chr20|10994924|unknown|lncRNA|ENSG00000270792|10672695|
chr20|10754033|LINC01752|lncRNA|ENSG00000224961|10696949|
chr20|10765286|unknown|lncRNA|ENSG00000234900|10753278|
chr20|10909279|unknown|lncRNA|ENSG00000232900|10875333|"[""LOC101929413""]"
chr20|10889088|FAT1P1|processed_pseudogene|ENSG00000217809|10888582|"[""FAT tumor suppressor homolog pseudogene 1"", ""FAT1P1"", ""FAT atypical cadherin 1 pseudogene 1"", ""FAT tumor suppressor homolog 1 pseudogene 1"", ""dJ697P8.1"", ""HGNC:16582""]"
chr20|11029455|LINC02871|lncRNA|ENSG00000125899|10996293|
chr20|11001763|unknown|lncRNA|ENSG00000270777|11001304|
chr20|11301525|LINC03163|lncRNA|ENSG00000230990|11234170|
chr20|11345855|RPS11P1|processed_pseudogene|ENSG00000235544|11345383|"[""HGNC:16553"", ""ribosomal protein S11 pseudogene 1"", ""RPS11P1"", ""dJ1060K6.1"", ""RPS11_3_1684""]"
chr20|11541647|unknown|lncRNA|ENSG00000282478|11536406|
chr20|11581335|unknown|lncRNA|ENSG00000287754|11566484|
chr20|11609048|LIN28AP3|processed_pseudogene|ENSG00000271397|11608436|
chr20|11621477|PGAM3P|processed_pseudogene|ENSG00000237256|11621051|"[""PGAM3P"", ""dJ1128N12.1"", ""HGNC:16557"", ""phosphoglycerate mutase 3, pseudogene""]"
chr20|11687323|unknown|lncRNA|ENSG00000261411|11685144|
chr20|11878429|LINC00687|lncRNA|ENSG00000228422|11800463|"[""HGNC:16194"", ""LINC00687"", ""long intergenic non-protein coding RNA 687"", ""C20orf61"", ""dJ1012F16.1""]"
