label|source_id|source_type|target_id|target_type|taxon_id
translates_to|ENST00000353703|transcript|P31946|protein|NCBITaxon:9606
translates_to|ENST00000372839|transcript|P31946|protein|NCBITaxon:9606
translates_to|ENST00000264335|transcript|P62258|protein|NCBITaxon:9606
translates_to|ENST00000571732|transcript|P62258|protein|NCBITaxon:9606
translates_to|ENST00000616643|transcript|P62258|protein|NCBITaxon:9606
translates_to|ENST00000627231|transcript|P62258|protein|NCBITaxon:9606
translates_to|ENST00000248975|transcript|Q04917|protein|NCBITaxon:9606
translates_to|ENST00000307630|transcript|P61981|protein|NCBITaxon:9606
translates_to|ENST00000339276|transcript|P31947|protein|NCBITaxon:9606
translates_to|ENST00000238081|transcript|P27348|protein|NCBITaxon:9606
translates_to|ENST00000381844|transcript|P27348|protein|NCBITaxon:9606
translates_to|ENST00000353245|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000395951|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000395953|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000395956|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000395957|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000395958|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000419477|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000457309|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000522542|transcript|P63104|protein|NCBITaxon:9606
translates_to|ENST00000263776|transcript|Q96QU6|protein|NCBITaxon:9606
translates_to|ENST00000378832|transcript|Q4AC99|protein|NCBITaxon:9606
translates_to|ENST00000261461|transcript|Q15172|protein|NCBITaxon:9606
translates_to|ENST00000537030|transcript|Q15172|protein|NCBITaxon:9606
translates_to|ENST00000164133|transcript|Q15173|protein|NCBITaxon:9606
translates_to|ENST00000394110|transcript|Q14738|protein|NCBITaxon:9606
translates_to|ENST00000461010|transcript|Q14738|protein|NCBITaxon:9606
translates_to|ENST00000485511|transcript|Q14738|protein|NCBITaxon:9606
translates_to|ENST00000337537|transcript|Q16537|protein|NCBITaxon:9606
translates_to|ENST00000422769|transcript|Q16537|protein|NCBITaxon:9606
translates_to|ENST00000555899|transcript|Q16537|protein|NCBITaxon:9606
translates_to|ENST00000328724|transcript|Q13362|protein|NCBITaxon:9606
translates_to|ENST00000334743|transcript|Q13362|protein|NCBITaxon:9606
